20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070112061344AAPdtSW	Entertainment & Music;Movies	Avez vous aim "guerre et paix" le film, version russe ou amrcaine?	N/A
20061227040708AAbN8jt	Entertainment & Music;Celebrities	What do you think about Simon Baker?	N/A
20061228050227AAd4Hag	Entertainment & Music;Horoscopes	Horoscope for 2007?	N/A
20061228120729AANSquO	Entertainment & Music;Celebrities	Murio Michael Jackson... la farandula yanki esta de luto...?	N/A
20061228205617AAsIJXr	Entertainment & Music;Music	Does anyone know who sings "I WANNA BE THE RAIN"?	N/A
20070101041145AAJH3M6	Entertainment & Music;Movies	Where i can download the movie "casino royal?	or more movies on the internet
20070101155459AAwqAWo	Entertainment & Music;Movies	Quais s?o os filmes atuais que ir?o virar lenda?	N/A
20070102102918AAK3svg	Entertainment & Music;Movies	Qual o melhor ator e melhor atriz pra você?Qual melhor papel já representado por eles na sua opni?o?	Eu admiro muito o trabalho do Jack Nicholson e achei a atua??o dele em O Iluminado(1980) excelente.E se tratando de atriz,a melhor é com certeza a Charlize Theron, e um papel inesquecível é o interpretado no filme Monster - Desejo Assassino(2003) que lhe rendeu o oscar de melhor atriz.
20070106025905AAoB9le	Entertainment & Music;Movies	Qual can??o de filme ficou marcada pra você?Eu adoro Stop crying your heart do Oasis, que passa no final de...	...Efeito Borboleta!E você...se lembra de alguma can??o que se encaixou perfeitamente em alguma cena de um filme,tornado-o mais interessante?
20070102182619AAcCbyC	Entertainment & Music;Movies	Queria saber emqual sala de cinema de Campinas, esta sendo exibido o filme Adrenalina?	N/A
20070102184907AACfx9K	Entertainment & Music;Movies	The movie BABUL???	who thinks babul was good. i think that amitabh did a good jod but jhon abraham and salman...ehg!!!
20070103054516AAktIoC	Entertainment & Music;Movies	Será que vai ter continua??o  a a saga de matrix o filme que revolucionou o cinema mundial?	matrix foi um filme que inpresionou com efeitos especiais jamais visto antes no cinema mundial e tambem pelo fato de toda a trama ser bem bolada pois so era posivel fazer toda aqueles efeitos no mundo virtual de matrix ,mais em fim sera que  Neo morreu em matrix revoluxion ou tera continuacao
20070104060242AAkRn2K	Entertainment & Music;Movies	Se o cinema é a sétima arte, quais s?o as outras 6?	N/A
20070104045333AAfnKO9	Entertainment & Music;Celebrities	Pq os artistas internacionais gostam tanto do publico brasileiro??	toda vez q um artista internacional vem aqui pela 1° vez se enquanta com as pessoas, as mulheres, a comida e muitas outras coisas.    pq será??
20070104082059AALoZzA	Entertainment & Music;Music	Does anybody know if there is a release date yet for the new Smashing Pumpkins album?	N/A
20070104101434AALBb2E	Entertainment & Music;Movies	Vc viu o filme "Cama de Gato", com Caio Blat??? O q achou???	N/A
20070104111442AAfNEqT	Entertainment & Music;Movies	Podem me indicar um filme bom no genero drama??	Um filme emocionante e que deixe uma mensagem para a vida...
20070104171358AAiq59K	Entertainment & Music;Movies	Gostaria de saber onde encontro um site para baixar filmes (lan?amentos)?	Gostaria que fossem filmes completos e com legendas...  De preferncia filmes recem lan?ados!!!
20070104173314AAh0Fk4	Entertainment & Music;Celebrities	Tom Cruise surtou?	Eu até achava ele um bom ator, gostava dele. Mas depois que ele conheceu a Katie Holmes parece que surtou. Tem atitudes estranhas e estravagantes. Ele n?o era assim. O que vc acha?
20070105090240AANt34O	Entertainment & Music;Other - Entertainment	Wie kann ich zufrieden sein wenn ich in einem frende Land leben?	ich studiere in eine fremde Sprache und ich bin nicht so gut verstanden wenn ich was sage, ich kann nicht mehr so schnell sprechen und so viel wie früher als ich auf meine eigene Sprache gesprochen habe . ich fühle dass auch meine lust zu leben verschwunden ist und dass ich eine andere Person werde sein.
20070105090859AA8JGCP	Entertainment & Music;Movies	Qual o filme que vc mais gostou e para vc é o melhor de todos os tempos??	N/A
20070105203147AAeICrS	Entertainment & Music;Music	Qual o nome da musica que toca no PANICO NA TV.?	Quero saber o nome daquela musica que toca no fim das reportagens do VESGO E DO SILVIO.Se n?o me engano também eram do Amaury Junior.
20070105163039AARw5xe	Entertainment & Music;Celebrities	Como Michael Jackson faz aquele passo inclinando corpo para,em um angulo de 45grausfrente em Smoth Criminal?	N/A
20070105165029AA9tofP	Entertainment & Music;Polls & Surveys	O que nao pode faltar na sua casa?	falo de comida lazer etc
20070105171508AAznpvK	Entertainment & Music;Movies	Qual os tres melhores filmes que vc ja assistiu?	Me falem qual os trê melhores filmes que vc já ssistiu e fale também o genero a que eles pertecem...   Obrigado...
20070105180739AAdDIIW	Entertainment & Music;Television	Por favor, alguém sabe aonde posso encontrar as legendas do seriado Summerland na internet?	Se alguém souber, por favor, me respondam pq eu amo esse seriado, eu já baixei todo ele e vi tudo em ingles, mas queria as legendas para entender um pouco melhor!!!   Alguem sabe onde encontrar???   Obrigada! Beijos
20070108165004AAwVfrv	Entertainment & Music;Television	é verdade que Gianechini é gay ?	Ouvi uma história de que ele teria um relacionamento com o filho da Maria Gabriela e o seu relacionamento com ela, seria para encobrir o fato. Se é verdade ou n?o eu n?o sei. Mas uma coisa eu sei: Se ele fose macho estaria com uma mulher mais jovem e popozuda. A M G é muito seca. Ela pode até ser culta e inteligente. Mas é seca e madura demais....
20070106100404AAmtsc4	Entertainment & Music;Music	How do you download music from a disk to your I-Pod?	I just got an I-pod for Christmas! My parent don't want to waste money on Itunes! How do you det music on it from a CD! Or any other way! I need it FREE!!!!!!!
20070106143507AAJaRXQ	Entertainment & Music;Music	Where can i download the Newfie rapper John.E.Memphis's music ?	Also when is britney Spears album coming out? and was Borat a good Movie?
20070106162417AAkTOK1	Entertainment & Music;Celebrities	Kais famosos vcs gostariam di ver dentro do bbb?	N/A
20070106181401AAnhGs7	Entertainment & Music;Music	What bass does the Flea play?	What bass does flea play from the red hot chilli pappers
20070106202921AAZWNsE	Entertainment & Music;Polls & Surveys	Tight name for a Teen After School Hangout / Weekend Night Club?	N/A
20070106203912AAoRPjm	Entertainment & Music;Polls & Surveys	Im buzzed where do i find a good beer drikin buddy  to talk tooooo?	me
20070107133833AAEK3N0	Entertainment & Music;Music	Letras Composi??es?	O q voceis acham do nvel das letras como "Lapada na Rachada"  e outras do estilo Calipso, forros, etc...?  Por onde anda a cultura do SER HUMANO???
20070107195736AAXf7t5	Entertainment & Music;Television	Na sua opini?o, pq, na televis?o, a baixaria é a base de todo programa de audiência ma?i?a?	Afinal, por que os brasileiros gostam tanto de baixaria(quando n?o é baixaria é coisa fútil: A vida amorosa dos atores/atrizes, quais s?o os personagens da novela que v?o ficar com quem) em vez de preferirem programas mais cultos e inteligentes(s?o raros, mas existem).   *Perguntas dentro da pergunta:   - O brasileiro odeia ter que usar seu cérebro?   - O brasileiro odeia aprender?   - O brasileiro realmente tem raz?o para dizer que sua vida está MUITO difícil, mas ele se prop?em a lutar DE VERDADE por mudan?as ou ele acha: "lutar dá muito trabalho, já basta a luta que eu tenho no meu emprego... N?o, nossa situa??o está ruim mas ainda dá pra viver assim"?      Pra mim as respostas s?o(infelizmente):    - Sim   - Sim   - Ele "acha que ainda dá pra viver assim".      E quais s?o as suas respostas?   *Obs: N?o estou generalizando, sei plenamente que existem pessoas(como eu e vcs) que querem melhorar este Grande Circo Brasil.   - Responda as quest?es q quiserem, fiquem a vontade.
20070108073313AAOxK5I	Entertainment & Music;Celebrities	Do you have fun as being an actor?	N/A
20070108083652AAzLKyi	Entertainment & Music;Movies	Indica??o de Filmes?	Adoro cinema, alugar dvd, tudo relacionado a filmes...      me indique 3 filmes ...
20070108112943AApyFLu	Entertainment & Music;Television	Mas tb axo que a nivel de qualidade de imagem os desenhos animados ja s?o perfeitos nas cores, os novos?	concordam?
20070108154601AAo477F	Entertainment & Music;Television	Indique uma persolnalidade (artista, apresentador, cantor) deveria sair imediatamente da televis?o, porque?	N/A
20070109041914AAgjPBz	Entertainment & Music;Television	Qual é o estado de saúde de Nair Bello?	N/A
20070109053732AAhNgvQ	Entertainment & Music;Television	Quanto, em geral, se corta de um filme quando, na TV aberta, se vai aos comerciais?	N/A
20070109064201AAo1ujr	Entertainment & Music;Celebrities	Bratt Pitt anuncio que só se casa quando os homossexuais tiverem o mesmo direito. O que você acha disso?	N/A
20070109125535AADlmwT	Entertainment & Music;Music	What is a "side riser seat"?  Specifically one at the Long Beach Convention Center.?	N/A
20070109170045AAZRDwF	Entertainment & Music;Celebrities	Amy lee evanescence?	WHO IS AMY LEE ENGAGED TO?
20070110044057AA9MvAi	Entertainment & Music;Celebrities	Is hrithik's dhoom2 performance is best of his all?	i will rock you
20070110141142AAEabO1	Entertainment & Music;Jokes & Riddles	Who hates Fergalicious?	If you are crazy,,,=0,,,,,,Fergie is the 1 who made fergalicious
20070110185948AAkDhq9	Entertainment & Music;Music	Gostaria de saber quando vai ser o proximo rock'n rio?	eh verdade q vai ser esse ano, ou vai ser em 2010?
20070111110905AA75rNs	Entertainment & Music;Jokes & Riddles	Why don't witchs ware panties?	to get a better grip on the broom.
20070112081514AANphdg	Entertainment & Music;Movies	Para vc ,quais s?o os 10 filmes mais esperados de2O07  enh??	N/A
20070112090357AAWc5Zg	Entertainment & Music;Television	Alguém sabe o nome da música que toca quando o ESPíRITO DA NANDA aparece??	N?o é a one last cry, é uma outra que eu acho que é instrumental, mas n?o tenho certeza. Alguém sabe???   Obrigada.
20070112122519AAo1eFw	Entertainment & Music;Movies	Se vc pudesse ser um X-Man quem vc seria?	Qual desses super herois vc gostaria de ser? destaque suas habilidades mais impressionantes!
20070112130104AArvF0T	Entertainment & Music;Other - Entertainment	Conoscete i linkin park ?	N/A
20070113020552AAvylHR	Entertainment & Music;Television	Net tv a cabo?	Realmente a galera que usa a net tv a gato, de uns dias pra cá,a Net fez alguma modifica??o que intrferiu no sinal dos gatos, a imagem fica como negativo de foto e destorcida, fantasmas e etc. em breve a galera ira resolver isso, é só uma quest?o de tempo,e vamos postar a solu??o.
20070114135421AAGwDFK	Entertainment & Music;Movies	Qual seu filme de Alien preferido?	N/A
20070114150725AAnMNNJ	Entertainment & Music;Television	Qual trilha sonora de desenho animado que vc mas gostou?	N/A
20070114112501AA7ocLB	Entertainment & Music;Movies	Alguem sabe algum site que puxe filmes com menu?	quero o filme completo para gravar e ampliar minha cole??o  gostaria de saber se tem algum site ou programa que eu possa puxar um iso dos filmes, para nao ter que alugar ....    obrigado !!!
20070114115543AA0H1dW	Entertainment & Music;Music	Onde encontro o clipe edu ribeiro me namora?	N/A
20070114131049AAjj2Fp	Entertainment & Music;Television	Est-ce vraiement la peine de faire une nouvelle saison de la "Nouvelle Star" sur M6 ..?	...Vu qu'avec Christophe Willem alias "La tortue", je ctrouve qu'ils ont mis la barre trs haut et j'ai peur qu'avec le ou la laureate de la 5 me saison, on soit un peu d?u....
20070114141222AAckKtG	Entertainment & Music;Celebrities	O q vc acha de Johnny Depp?	Ele é um ótimo ator n?o acha?
20070114180834AAczc1h	Entertainment & Music;Movies	Name as many movie stars as you can cause i need it for a project?	N/A
20070114181152AAtWcOI	Entertainment & Music;Movies	How many batman movies have been made?	N/A
20070114181857AAV2w70	Entertainment & Music;Television	Se por acaso surgir um BBB com os ganhadores das seis ultimas edi??es, quem ganharia?	Bam Bam   Domini   Cowboy   Jean   Mara    Cida
20070115034328AAH5Q9R	Entertainment & Music;Celebrities	Que faire pour empêcher Patrick Sébastien de chanter?	N/A
20070115042807AAlybCu	Entertainment & Music;Music	Changing music help?	I listen to music by Likin Park, John cena and Eminem but i feel like a change and i would like to know if there are any other bands or soloists that do music like them,      Tha Virus Slayer
